    5.8771 MB /   1.00 sec =   49.2997 Mbps     0 / 96290 ~drop/pkt  0.00 ~%loss
    5.8682 MB /   1.00 sec =   49.2259 Mbps     0 / 96144 ~drop/pkt  0.00 ~%loss
    5.8689 MB /   1.00 sec =   49.2319 Mbps     0 / 96156 ~drop/pkt  0.00 ~%loss
    5.8682 MB /   1.00 sec =   49.2263 Mbps     0 / 96145 ~drop/pkt  0.00 ~%loss
    5.8691 MB /   1.00 sec =   49.2338 Mbps     0 / 96160 ~drop/pkt  0.00 ~%loss
    5.8687 MB /   1.00 sec =   49.2299 Mbps     0 / 96152 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2285 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8688 MB /   1.00 sec =   49.2315 Mbps     0 / 96155 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2264 Mbps     0 / 96146 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2271 Mbps     0 / 96146 ~drop/pkt  0.00 ~%loss
    5.8691 MB /   1.00 sec =   49.2338 Mbps     0 / 96160 ~drop/pkt  0.00 ~%loss
    5.8681 MB /   1.00 sec =   49.2231 Mbps     0 / 96143 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2293 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8696 MB /   1.00 sec =   49.2399 Mbps     0 / 96168 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2285 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2271 Mbps     0 / 96146 ~drop/pkt  0.00 ~%loss
    5.8686 MB /   1.00 sec =   49.2290 Mbps     0 / 96151 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2273 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8687 MB /   1.00 sec =   49.2306 Mbps     0 / 96153 ~drop/pkt  0.00 ~%loss
    5.8691 MB /   1.00 sec =   49.2337 Mbps     0 / 96160 ~drop/pkt  0.00 ~%loss
    5.8688 MB /   1.00 sec =   49.2311 Mbps     0 / 96154 ~drop/pkt  0.00 ~%loss
    5.8679 MB /   1.00 sec =   49.2206 Mbps     0 / 96139 ~drop/pkt  0.00 ~%loss
    5.8691 MB /   1.00 sec =   49.2356 Mbps     0 / 96159 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2273 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8693 MB /   1.00 sec =   49.2355 Mbps     0 / 96163 ~drop/pkt  0.00 ~%loss
    5.8678 MB /   1.00 sec =   49.2203 Mbps     0 / 96138 ~drop/pkt  0.00 ~%loss
    5.8686 MB /   1.00 sec =   49.2304 Mbps     0 / 96151 ~drop/pkt  0.00 ~%loss
    5.8688 MB /   1.00 sec =   49.2325 Mbps     0 / 96155 ~drop/pkt  0.00 ~%loss
    5.8693 MB /   1.00 sec =   49.2349 Mbps     0 / 96162 ~drop/pkt  0.00 ~%loss
    5.8679 MB /   1.00 sec =   49.2217 Mbps     0 / 96140 ~drop/pkt  0.00 ~%loss
    5.8691 MB /   1.00 sec =   49.2354 Mbps     0 / 96159 ~drop/pkt  0.00 ~%loss
    5.8682 MB /   1.00 sec =   49.2237 Mbps     0 / 96144 ~drop/pkt  0.00 ~%loss
    5.8688 MB /   1.00 sec =   49.2336 Mbps     0 / 96155 ~drop/pkt  0.00 ~%loss

  352.1378 MB /  60.00 sec =   49.2308 Mbps 24 %TX 33 %RX 0 / 5769426 drop/pkt 0.00 %loss
